uri,cid,author_did,author_handle,author_display_name,author_followers,author_following,author_posts,text,created_at,reply_count,repost_count,like_count,quote_count,hashtags,mentions,urls,has_image,has_video,has_external,image_count,is_reply,language,source
at://did:plc:mpvivcve3y2fdlw7pmq7niwz/app.bsky.feed.post/3m33hjjnpec2k,bafyreiasznbrznbymijb6jkbw67qeghtcxqpybl6uijpxb2acbf7hxlt6e,did:plc:mpvivcve3y2fdlw7pmq7niwz,therealjackhopkins.bsky.social,,0,0,0,"Buried inside the Big Beautiful Bill is a time bomb...one that detonates the balance of power. You weren’t supposed to read this clause. That’s why I did.

A single section hidden deep in the bill quietly neuters the courts. It’s that serious.🔥👇

www.jackhopkinsnow.com",,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:23wjsvypl7adzladmsjzribh/app.bsky.feed.post/3m32onii7zc2g,bafyreicost6i6532rckxiifyuhcp5ei2bebe3sktrbmnjsttzowfgkbb7y,did:plc:23wjsvypl7adzladmsjzribh,clhellisen.bsky.social,,0,0,0,"Just saw a clearly AI cover on a rather famous author's book.

Looking at the title, this seems to be the paperback edition from a major publisher.

😬",,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:2darfo36xds4oznvip7x2ux7/app.bsky.feed.post/3m3237fz3is2s,bafyreiccjhttfckh54vtkzqt53eicjcry66ajjusbmpj56tobedzglncvy,did:plc:2darfo36xds4oznvip7x2ux7,mollyknight.bsky.social,,0,0,0,this mlb postseason has been better than most!,,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:4tvce6a6nybb3ht7i6kjdk4y/app.bsky.feed.post/3m33g4eraxc2i,bafyreifpfw5dlay2rjn6ygyui74jcqgr2vfpvs3me4bgz25m6wzyirkwlq,did:plc:4tvce6a6nybb3ht7i6kjdk4y,hildavenhuizen.bsky.social,,0,0,0,"Oktober☀️🍄🤩
#paddenstoel #roodmetwittestippen #zwam #herfst #oktober #natuur",,0,0,0,0,[],[],[],False,False,False,0,True,nl,popular_feed
at://did:plc:4lx6nur5wstwoc4wtgj56kyu/app.bsky.feed.post/3m33dsszrd22i,bafyreih5qvoy7phwjkc6vjqcqjg4d7bmkrgjcxllat4dogewprzkixropu,did:plc:4lx6nur5wstwoc4wtgj56kyu,gtconway.bsky.social,,0,0,0,,,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:t6ubj2wlhc34awzcymh3qpur/app.bsky.feed.post/3m33iv2vsrc2k,bafyreidxx36vvcnkxpdjn2rcn5nj542znkjulndjotxca2zgerbth34jiy,did:plc:t6ubj2wlhc34awzcymh3qpur,ronfilipkowski.bsky.social,,0,0,0,But we cant have healthcare. bsky.app/profile/atru...,,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:ov6zd7risdplxvivxmpsu5eu/app.bsky.feed.post/3m33babuuck2m,bafyreienabjafrea2guuacqljcjfshxqbr34244bbo64b7x3iqgxsatcny,did:plc:ov6zd7risdplxvivxmpsu5eu,logicallyjc.bsky.social,,0,0,0,We need work requirements for Congress.,,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:2w45zyhuklwihpdc7oj3mi63/app.bsky.feed.post/3m33auhg2u62n,bafyreihwozrvfo72mh5r2647sm57bhropjae742xedcm2up3qvzxtexk4e,did:plc:2w45zyhuklwihpdc7oj3mi63,forbes.com,,0,0,0,"Swift announced both projects on “Good Morning America” Monday morning, more than a week after she released her record-breaking “The Life of a Showgirl” album.",,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:2usw73ne6ibwzit6zdcacacb/app.bsky.feed.post/3m2zj42oi4c2n,bafyreidkodptaon4aq3p7xdqogptc4fvzyyhui55ukyjmvyjsdn4377ozi,did:plc:2usw73ne6ibwzit6zdcacacb,kurtiswothe.bsky.social,,0,0,0,"Just sent out another query for GODDAMN!: The Mythos 
Wrestling Federation.

Now to dive into some research for Make It Stop.

#books #authors #writingcommunity #writers #booksky #writing #fiction #author #bluesky #amwriting",,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:aunpu65mdrhwfie7ynymlzeh/app.bsky.feed.post/3m33gioqdpk2g,bafyreifhqq2ui2gerxqi6ylzlg5lomd2nucghxly7z7n5v6uzpw5awiegq,did:plc:aunpu65mdrhwfie7ynymlzeh,thebulwark.com,,0,0,0,"""I can't remember the quotation exactly, but it's like 'when fascism comes to America, it will be wrapped in a flag and wearing the cross.' Mike Johnson's the real embodiment of that."" - @sarahlongwell25.bsky.social",,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
at://did:plc:2pijl4hy25qond3iwnn5feo7/app.bsky.feed.post/3m33774toth2a,bafyreifcrwqakuex4esse3x7g2zsemusyeypmynkli73gdzlpvzjxzc66e,did:plc:2pijl4hy25qond3iwnn5feo7,bichinhos.bsky.social,,0,0,0,Não vou levantar,,0,0,0,0,[],[],[],False,False,False,0,True,pt,popular_feed
at://did:plc:332n3c4xnrzhhbyjhu7vpzjo/app.bsky.feed.post/3m3373upkl42t,bafyreidtmspb3uhja7bs3kppxoia6352zeq6cdlyaphqwnqg76yjcqfmeq,did:plc:332n3c4xnrzhhbyjhu7vpzjo,salsichinhas.bsky.social,,0,0,0,A vida boa que eu queria ter,,0,0,0,0,[],[],[],False,False,False,0,True,pt,popular_feed
at://did:plc:4z72hczfjzpurydmdgrtlr5o/app.bsky.feed.post/3m32iydmsl22n,bafyreiciv7ibnptmcynjj5lrlzha4myqeqm44adw2ofbsyrynzzhyxfbdi,did:plc:4z72hczfjzpurydmdgrtlr5o,monika123.bsky.social,,0,0,0,Dzień dobry lecimy z tym poniedziałkiem 🐶🙋☕😀,,0,0,0,0,[],[],[],False,False,False,0,True,pl,popular_feed
at://did:plc:5gy3v7opwo3bfoa7dojkfhvp/app.bsky.feed.post/3m33iq6txzs2m,bafyreihqqyxudssi25nn2k7o4jnm2mmyay7ampkr4ca2xqgnhh7tohme2i,did:plc:5gy3v7opwo3bfoa7dojkfhvp,helenkennedy.bsky.social,,0,0,0,"Old CBS would’ve probably spelled the guy’s name right, too.",,0,0,0,0,[],[],[],False,False,False,0,True,en,popular_feed
