uri,cid,author_did,author_handle,author_display_name,author_followers,author_following,author_posts,text,created_at,reply_count,repost_count,like_count,quote_count,hashtags,mentions,urls,has_image,has_video,has_external,image_count,is_reply,language,source,reply_count_actual,thread_depth
at://did:plc:26cjznlx2osyiwkq6yh7qj77/app.bsky.feed.post/3m32cbkb6e22b,bafyreic6cduihk6nezs4g7uu4kemjfknln2fzwuyo66ucsbkjinzo62t2q,did:plc:26cjznlx2osyiwkq6yh7qj77,flemtheparrot.bsky.social,Frostbitten Flamingo,0,0,0,Morning.,2025-10-13T03:42:37.802Z,37,159,1261,9,[],[],[],True,False,False,1,False,en,popular_feed,34.0,2.0
at://did:plc:2w45zyhuklwihpdc7oj3mi63/app.bsky.feed.post/3m2zjk6beiu2a,bafyreidlupdbulheattuyskcln7ycwxdbzm4awkvh7zipwqsnnt7e4ufta,did:plc:2w45zyhuklwihpdc7oj3mi63,forbes.com,Forbes,0,0,0,Solar winds escaping from cooler regions of the sun could impact the aurora on Sunday night.,2025-10-12T20:20:03Z,22,268,1523,14,[],[],[],False,False,True,0,False,en,popular_feed,18.0,2.0
at://did:plc:27wdndxpjo7luivtese2za4e/app.bsky.feed.post/3m333xmrkjc22,bafyreibzlf32gecrw23zaa66e2wngaxsdvuhhp3d6lvgctmuhoxksezaqu,did:plc:27wdndxpjo7luivtese2za4e,traffickerg.bsky.social,ごん🦞,0,0,0,持ってるよ、ベルリンの壁のかけら。,2025-10-13T11:22:22.263Z,1,14,81,0,[],[],[],True,False,False,1,False,ja,popular_feed,1.0,1.0
at://did:plc:7exlcsle4mjfhu3wnhcgizz6/app.bsky.feed.post/3m2zl7rg73z2m,bafyreid3ggweejzy24lmgqwejp2oeirzuq6ewkkmp3mwgtoe7t5m3tcfhy,did:plc:7exlcsle4mjfhu3wnhcgizz6,theverge.com,The Verge,0,0,0,Marvel’s details upcoming slate of shows at New York Comic Con,2025-10-12T20:50:01.026Z,1,4,30,2,[],[],[],False,False,True,0,False,,popular_feed,,
at://did:plc:2aylwwoxvcrohglyve4hzlaz/app.bsky.feed.post/3m32wockrik2n,bafyreidjfs2zf7nrfhalcuyowvn4xdztxn7445f2th5edgf7f7ytermbda,did:plc:2aylwwoxvcrohglyve4hzlaz,privilegienschreck.bsky.social,Mirja N,0,0,0,"Ich hab's übrigens auch in den Text von @paulschuberth.bsky.social geschafft. Vielen Dank!

Kauft ""Die verdrängte Pandemie – Linke Stimmen gegen Pandemierevisionismus"": 

gegenpandemierevisionismus.com",2025-10-13T09:47:40.856Z,3,11,58,3,[],"[""did:plc:wbehvhgf7chbnlfaxhjaqaxk""]","[""https://gegenpandemierevisionismus.com""]",True,False,False,1,False,de,popular_feed,,
at://did:plc:a67zdrt4nl2tv2qojpngogbq/app.bsky.feed.post/3m2zigr2gkl2t,bafyreid7bladl27xpqs7ikisadc6glwugm3minr7detsvf7i4rxvhujvzm,did:plc:a67zdrt4nl2tv2qojpngogbq,apnews.com,The Associated Press,0,0,0,"A nor'easter is churning up the East Coast, prompting New Jersey to declare a state of emergency. Another storm has struck farther south with some heavy rain and flooding.",2025-10-12T20:00:14Z,8,25,84,4,[],[],[],False,False,True,0,False,,popular_feed,8.0,1.0
at://did:plc:27hculg6bmdbi47xcarxczbf/app.bsky.feed.post/3m333ai5h722b,bafyreidda4i72mbnl6gnt5t3ywwoxh3yxpsptcvgh4oqy6vieke56lg4ii,did:plc:27hculg6bmdbi47xcarxczbf,rafelangston.com,Ratt,0,0,0,"The rumble of a massive diesel engine and the hiss of air brakes mix with the chatter of people crossing over these rarely used tracks on their way to catch a train being prepped to depart from a nearby platform.
🏷️ #EastCoastKin #Photography #Railroad #SensoryArt #Trains #Transportation #Weathered",2025-10-13T11:09:25.659Z,1,0,16,0,"[""EastCoastKin"", ""Photography"", ""Railroad"", ""SensoryArt"", ""Trains"", ""Transportation"", ""Weathered""]",[],[],True,False,False,1,False,en,popular_feed,,
at://did:plc:223hjeafjnuiwwtsag3ludbc/app.bsky.feed.post/3m2zoo74eas2o,bafyreifsimbt6547nhosm34q4skmo7cq3cdzt7fjcnkxcp4brotjpstso4,did:plc:223hjeafjnuiwwtsag3ludbc,matthewtak.bsky.social,Matthew Tak,0,0,0,"#DailySketch: Shredded

#inktober #inktober2025 #art #illustration #drawing",2025-10-12T21:51:47.560Z,35,73,958,2,"[""DailySketch"", ""inktober"", ""inktober2025"", ""art"", ""illustration"", ""drawing""]",[],[],True,False,False,1,False,en,popular_feed,30.0,1.0
at://did:plc:23ect4wm5cecl3cyqh4bfpvm/app.bsky.feed.post/3m32dz7j7dc2m,bafyreidv2ejp3upsmuygonu5q7zfb7hdclv5t2xnaugxrchtdou5j5aknu,did:plc:23ect4wm5cecl3cyqh4bfpvm,left-handed-jedi.bsky.social,Left-Handed Jedi,0,0,0,"Alien Titan 

#aiart #synthart #sci-fi #titan #otherworldly",2025-10-13T04:13:45.662Z,10,8,140,1,"[""aiart"", ""synthart"", ""sci-fi"", ""titan"", ""otherworldly""]",[],[],True,False,False,1,False,en,popular_feed,10.0,1.0
at://did:plc:3hc2koi3insgd6izhggv7frw/app.bsky.feed.post/3m32a6xpisk2a,bafyreihttsvmj3sosf5q7jdykv3lwekbx6tvoxpqso3cj72bz6is2f7uye,did:plc:3hc2koi3insgd6izhggv7frw,thedeerwhisperer.bsky.social,🦌 The Deer Whisperer 🦌,0,0,0,"Good night, Bluesky!

First snow of the season in the Cascades today.
📸Sean Wheels",2025-10-13T03:05:23.832Z,4,6,55,0,[],[],[],True,False,False,1,False,en,popular_feed,,
